epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,3000,334,666
0,0.7211461663246155,0.9790558218955994,1.2465977668762207,0.0799805074930191,3300,367,733
1,0.6955870389938354,0.9708533883094788,1.2754788398742676,0.09782368689775467,3600,401,799
2,0.7112619876861572,0.9737278819084167,1.3371315002441406,0.07783573120832443,3900,434,866
3,0.7342252135276794,0.9702503085136414,1.1619746685028076,0.09800564497709274,4200,468,932
4,0.7379193305969238,0.9718276262283325,1.101505160331726,0.09243523329496384,4500,502,998
5,0.7334265112876892,0.9781471490859985,1.1504358053207397,0.07931680232286453,4800,535,1065
6,0.7480031847953796,0.9783333539962769,1.1805051565170288,0.07296642661094666,5100,568,1132
7,0.7542931437492371,0.975781261920929,1.0600091218948364,0.07914619147777557,5400,601,1199
8,0.7584864497184753,0.9759615659713745,1.0786622762680054,0.07639186084270477,5700,634,1266
9,0.7541933059692383,0.9762569665908813,1.0969592332839966,0.08658722788095474,6000,667,1333
10,0.7589856386184692,0.9775598645210266,1.038688063621521,0.074118971824646,6300,700,1400
11,0.7446086406707764,0.976024329662323,1.1269121170043945,0.07758842408657074,6600,733,1467
12,0.766473650932312,0.9781098961830139,1.0130478143692017,0.07188774645328522,6900,766,1534
13,0.7719648480415344,0.9766203761100769,0.9369626045227051,0.07669492810964584,7200,799,1601
14,0.7628793716430664,0.9745833277702332,0.9825356602668762,0.08592791110277176,7500,832,1668
15,0.7780551314353943,0.980053186416626,0.9894432425498962,0.06504042446613312,7800,865,1735
16,0.7447084784507751,0.9763063788414001,1.1344356536865234,0.07954736799001694,8100,898,1802
17,0.783845841884613,0.9745324850082397,0.8650112152099609,0.08768720179796219,8400,931,1869
18,0.7776557803153992,0.9769486784934998,0.9832620620727539,0.07838229835033417,8700,965,1935
19,0.7815495133399963,0.9751838445663452,0.9228874444961548,0.07733240723609924,9000,999,2001
20,0.789536714553833,0.9766179323196411,0.8739886283874512,0.07410489022731781,9300,1032,2068
21,0.7952276468276978,0.9782001972198486,0.8562125563621521,0.06802763044834137,9600,1065,2135
22,0.7867411971092224,0.9756249785423279,0.9268655776977539,0.07864631712436676,9900,1099,2201
23,0.794329047203064,0.9768145084381104,0.8553475737571716,0.0788125991821289,10200,1132,2268
24,0.7931309938430786,0.9776973128318787,0.8624365329742432,0.07035301625728607,10500,1166,2334
25,0.7935303449630737,0.9753039479255676,0.8722912669181824,0.07727327197790146,10800,1199,2401
26,0.7909345030784607,0.9742973446846008,0.9091019034385681,0.07930701225996017,11100,1232,2468
27,0.813398540019989,0.9797241687774658,0.8036302924156189,0.0634390190243721,11400,1266,2534
28,0.8020167946815491,0.9765406250953674,0.8580443859100342,0.0766569972038269,11700,1299,2601
29,0.8080071806907654,0.9774590134620667,0.7889994978904724,0.07543601840734482,12000,1332,2668
30,0.8102036714553833,0.9774166941642761,0.8278036117553711,0.07249895483255386,12300,1366,2734
31,0.8046126365661621,0.9785173535346985,0.7928389310836792,0.07082924246788025,12600,1400,2800
32,0.8038138747215271,0.9771045446395874,0.8042742609977722,0.07245199382305145,12900,1433,2867
33,0.7965255379676819,0.9771813154220581,0.8195163011550903,0.07385574281215668,13200,1467,2933
34,0.8184903860092163,0.9760138988494873,0.6965194344520569,0.07845372706651688,13500,1501,2999
35,0.8033146858215332,0.9748011827468872,0.807068943977356,0.07630860060453415,13800,1534,3066
36,0.8145966529846191,0.9781539440155029,0.7443888783454895,0.07120826840400696,14100,1567,3133
37,0.8157947063446045,0.9757227897644043,0.7521979212760925,0.07662508636713028,14400,1601,3199
38,0.8199880123138428,0.9749305844306946,0.7564070224761963,0.0793643370270729,14700,1635,3265
39,0.8111022114753723,0.9786684513092041,0.8100059628486633,0.06895104050636292,15000,1668,3332
40,0.8173921704292297,0.9765235781669617,0.7180601358413696,0.07546056061983109,15300,1702,3398
41,0.8233826160430908,0.9767745137214661,0.7187535762786865,0.07543594390153885,15600,1735,3465
42,0.831569492816925,0.9791239500045776,0.6770655512809753,0.06958600878715515,15900,1768,3532
43,0.8262779712677002,0.9772384166717529,0.705428421497345,0.07271916419267654,16200,1801,3599
44,0.8208865523338318,0.9775640964508057,0.7704431414604187,0.06926411390304565,16500,1834,3666
45,0.8153953552246094,0.9776526093482971,0.7500133514404297,0.07058205455541611,16800,1867,3733
46,0.8179911971092224,0.979107141494751,0.7814163565635681,0.06960221379995346,17100,1900,3800
47,0.8295726776123047,0.9776285290718079,0.7073022723197937,0.07094216346740723,17400,1933,3867
48,0.8310703039169312,0.9792241454124451,0.7215548157691956,0.06760299950838089,17700,1966,3934
49,0.8330671191215515,0.9782265424728394,0.6756676435470581,0.07150135934352875,18000,1999,4001
50,0.8303713798522949,0.9784635901451111,0.6983630061149597,0.07300491631031036,18300,2032,4068
51,0.8382588028907776,0.9773117899894714,0.6469995379447937,0.07175269722938538,18600,2065,4135
52,0.8318690061569214,0.9785760045051575,0.7151896357536316,0.06860289722681046,18900,2098,4202
53,0.8324680328369141,0.9776861071586609,0.7345780730247498,0.06908681988716125,19200,2131,4269
54,0.8376597166061401,0.9782812595367432,0.6686592102050781,0.07095552235841751,19500,2165,4335
55,0.8367611765861511,0.9781762361526489,0.6769439578056335,0.07058709114789963,19800,2198,4402
56,0.838957667350769,0.9774165749549866,0.6580957174301147,0.06989707052707672,20100,2231,4469
57,0.8326677083969116,0.9768978357315063,0.6741321086883545,0.07197118550539017,20400,2264,4536
58,0.8317691683769226,0.9775176048278809,0.6984096169471741,0.06946352124214172,20700,2298,4602
59,0.8385583162307739,0.9789412617683411,0.6690272092819214,0.06618155539035797,21000,2331,4669
60,0.8480431437492371,0.9791666865348816,0.6408306360244751,0.06542019546031952,21300,2364,4736
61,0.83805912733078,0.9763889312744141,0.6463865041732788,0.07564575970172882,21600,2397,4803
62,0.8356629610061646,0.9774537086486816,0.6425845623016357,0.07084144651889801,21900,2430,4870
63,0.831569492816925,0.979744553565979,0.7220616340637207,0.06696872413158417,22200,2463,4937
64,0.8461461663246155,0.9778607487678528,0.6552441716194153,0.07139404118061066,22500,2497,5003
65,0.8406549692153931,0.978515625,0.6532743573188782,0.06889038532972336,22800,2531,5069
66,0.8356629610061646,0.9772966504096985,0.6512458920478821,0.0715828612446785,23100,2564,5136
67,0.8486421704292297,0.9770602583885193,0.6051253080368042,0.07294368743896484,23400,2597,5203
68,0.8412539958953857,0.978227436542511,0.6432272791862488,0.06968143582344055,23700,2631,5269
69,0.8421525359153748,0.9784497022628784,0.6415623426437378,0.06890732795000076,24000,2664,5336
70,0.8399560451507568,0.9793750047683716,0.6702924966812134,0.06969134509563446,24300,2697,5403
71,0.8441493511199951,0.9788651466369629,0.6695454120635986,0.06833726912736893,24600,2731,5469
72,0.845447301864624,0.9785435795783997,0.6566468477249146,0.06915736943483353,24900,2764,5536
73,0.8430511355400085,0.9794608354568481,0.6729663610458374,0.06714329123497009,25200,2798,5602
74,0.8506389856338501,0.9782280921936035,0.6022237539291382,0.07001621276140213,25500,2831,5669
75,0.8455471396446228,0.9790956974029541,0.644790530204773,0.06687084585428238,25800,2865,5735
76,0.8404552936553955,0.9763398170471191,0.6727591753005981,0.07319804280996323,26100,2899,5801
77,0.850239634513855,0.977573573589325,0.592042863368988,0.07244571298360825,26400,2932,5868
78,0.8445487022399902,0.9794697165489197,0.621703565120697,0.06373964995145798,26700,2965,5935
79,0.8423522114753723,0.9792664647102356,0.6586267352104187,0.06889334321022034,27000,2998,6002
80,0.8413538336753845,0.9769327640533447,0.6218418478965759,0.07105070352554321,27300,3032,6068
81,0.8514376878738403,0.9777883291244507,0.5926887392997742,0.07153758406639099,27600,3065,6135
82,0.8442491888999939,0.9786355495452881,0.6769309639930725,0.06683236360549927,27900,3099,6201
83,0.8561301827430725,0.9798902273178101,0.5789628624916077,0.06459949910640717,28200,3132,6268
84,0.8512380123138428,0.9777848720550537,0.6153696179389954,0.06975986063480377,28500,3166,6334
85,0.8461461663246155,0.9774129986763,0.6032445430755615,0.07077015936374664,28800,3199,6401
86,0.8515375256538391,0.9789583086967468,0.5704802870750427,0.06895734369754791,29100,3233,6467
87,0.8468450307846069,0.9786401391029358,0.6106396317481995,0.06953683495521545,29400,3266,6534
88,0.8545327186584473,0.9782372117042542,0.5935075879096985,0.06765882670879364,29700,3299,6601
89,0.8526358008384705,0.9791442155838013,0.5992005467414856,0.06700613349676132,30000,3332,6668
90,0.8499401211738586,0.9780783653259277,0.6338622570037842,0.06905287504196167,30300,3366,6734
91,0.8598242998123169,0.9786166548728943,0.5556260943412781,0.06846973299980164,30600,3399,6801
92,0.855930507183075,0.978285014629364,0.612637460231781,0.06934630125761032,30900,3432,6868
93,0.8542332053184509,0.9777109026908875,0.5631167888641357,0.07120145857334137,31200,3465,6935
94,0.8509384989738464,0.9795833230018616,0.5977593660354614,0.06515763700008392,31500,3499,7001
95,0.8518370389938354,0.9791666269302368,0.6068174242973328,0.06650388240814209,31800,3532,7068
96,0.8510383367538452,0.9804766178131104,0.6563615202903748,0.06337366998195648,32100,3566,7134
97,0.8564296960830688,0.9784300327301025,0.5678144693374634,0.06799262017011642,32400,3600,7200
98,0.8544328808784485,0.9777578711509705,0.5907480120658875,0.0668196752667427,32700,3633,7267
99,0.8509384989738464,0.9782245755195618,0.5779773592948914,0.06751879304647446,33000,3666,7334
