epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,33,67
0,0.41942891478538513,0.8364583849906921,2.064631223678589,0.5568268895149231,600,66,134
1,0.49341055750846863,0.925438642501831,2.3809926509857178,0.29581406712532043,900,100,200
2,0.5675918459892273,0.8900862336158752,1.7319133281707764,0.36703500151634216,1200,133,267
3,0.5921525359153748,0.8980262875556946,1.5464792251586914,0.3240762948989868,1500,166,334
4,0.5965455174446106,0.9140387773513794,1.6998957395553589,0.2719287872314453,1800,200,400
5,0.625,0.8865131735801697,1.3632704019546509,0.34786614775657654,2100,234,466
6,0.6587460041046143,0.9064394235610962,1.351597547531128,0.31020694971084595,2400,267,533
7,0.6605431437492371,0.9049999713897705,1.3087466955184937,0.30251747369766235,2700,300,600
8,0.6705271601676941,0.9066176414489746,1.214289665222168,0.29998335242271423,3000,333,667
9,0.6978833675384521,0.9035904407501221,1.1500272750854492,0.29306918382644653,3300,366,734
10,0.689197301864624,0.903245210647583,1.1051992177963257,0.3040972352027893,3600,400,800
11,0.7157548069953918,0.9051437973976135,1.0180610418319702,0.29569292068481445,3900,433,867
12,0.6983826160430908,0.9099823832511902,1.1298547983169556,0.2924770414829254,4200,467,933
13,0.7061701416969299,0.9178503751754761,1.0665183067321777,0.26611119508743286,4500,501,999
14,0.7267372012138367,0.913874089717865,0.9567432403564453,0.2707008719444275,4800,535,1065
15,0.7448083162307739,0.9175000190734863,0.9504997134208679,0.2678743898868561,5100,568,1132
16,0.7254393100738525,0.92578125,1.059754490852356,0.24102559685707092,5400,602,1198
17,0.740914523601532,0.9215976595878601,0.881435215473175,0.24985237419605255,5700,635,1265
18,0.7376198172569275,0.9072974920272827,0.964545488357544,0.2818009853363037,6000,668,1332
19,0.7032747864723206,0.916223406791687,1.1042290925979614,0.27176347374916077,6300,702,1398
20,0.7418131232261658,0.9268491864204407,0.9201558828353882,0.23722437024116516,6600,735,1465
21,0.7477036714553833,0.9249697923660278,0.9993700385093689,0.2341882437467575,6900,769,1531
22,0.7537939548492432,0.9223668575286865,0.8927411437034607,0.24007762968540192,7200,803,1597
23,0.7692691683769226,0.9212499856948853,0.8508684635162354,0.2418193370103836,7500,836,1664
24,0.7514976263046265,0.9248670339584351,0.9191389679908752,0.23898810148239136,7800,870,1730
25,0.7572883367538452,0.9278944730758667,0.8743904232978821,0.23083220422267914,8100,903,1797
26,0.7643769979476929,0.9206447005271912,0.8851245045661926,0.25582101941108704,8400,936,1864
27,0.7719648480415344,0.9225285053253174,0.8430197238922119,0.2492455095052719,8700,969,1931
28,0.7702675461769104,0.924386203289032,0.8627094030380249,0.2403002381324768,9000,1002,1998
29,0.7739616632461548,0.9242021441459656,0.8144017457962036,0.2377384603023529,9300,1035,2065
30,0.7728634476661682,0.9244844913482666,0.7932077646255493,0.238963782787323,9600,1068,2132
31,0.7696685194969177,0.9289583563804626,0.8442367911338806,0.22322021424770355,9900,1102,2198
32,0.7813498377799988,0.9299731850624084,0.7854663133621216,0.2208714634180069,10200,1136,2264
33,0.7660742998123169,0.9294018149375916,0.8005464673042297,0.22611714899539948,10500,1169,2331
34,0.7855431437492371,0.9321808218955994,0.7615510821342468,0.22394783794879913,10800,1202,2398
35,0.7801517844200134,0.9287167191505432,0.7958394289016724,0.2317599505186081,11100,1235,2465
36,0.7817491888999939,0.9262942671775818,0.774912416934967,0.23283839225769043,11400,1268,2532
37,0.7989217042922974,0.9259454011917114,0.7536962032318115,0.23338589072227478,11700,1301,2599
38,0.7930311560630798,0.9265198707580566,0.7826704978942871,0.23066602647304535,12000,1334,2666
39,0.7961261868476868,0.9279999732971191,0.7509065270423889,0.22618591785430908,12300,1367,2733
40,0.8002196550369263,0.9272186756134033,0.6979598999023438,0.2356412559747696,12600,1400,2800
41,0.7900359630584717,0.9283522963523865,0.8410654067993164,0.22024628520011902,12900,1434,2866
42,0.7907348275184631,0.9246596693992615,0.7792970538139343,0.23710086941719055,13200,1468,2932
43,0.7981230020523071,0.9318250417709351,0.7632510662078857,0.2150256484746933,13500,1502,2998
44,0.7922324538230896,0.925619900226593,0.7000607848167419,0.23277977108955383,13800,1535,3065
45,0.8040135502815247,0.9312065839767456,0.7534199953079224,0.2191399484872818,14100,1569,3131
46,0.7874401211738586,0.930442214012146,0.7519283294677734,0.22330306470394135,14400,1602,3198
47,0.7748602032661438,0.9320138692855835,0.871429443359375,0.21710608899593353,14700,1635,3265
48,0.7981230020523071,0.9295743107795715,0.7861602306365967,0.2219119817018509,15000,1668,3332
49,0.8392571806907654,0.9925816655158997,0.7615603804588318,0.025582825765013695,15300,1701,3399
