epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,35,65
0,0.40325480699539185,0.8489583730697632,2.2451322078704834,0.4906952977180481,600,68,132
1,0.47134584188461304,0.8371710777282715,1.9840495586395264,0.5329739451408386,900,102,198
2,0.5792731642723083,0.829741358757019,1.6461254358291626,0.5245596170425415,1200,135,265
3,0.6022364497184753,0.8873355388641357,1.501071572303772,0.3753467798233032,1500,168,332
4,0.6099241375923157,0.9042553305625916,1.4825795888900757,0.2975730001926422,1800,201,399
5,0.6137180328369141,0.8865131735801697,1.3973698616027832,0.3505835235118866,2100,234,466
6,0.6669328808784485,0.9045454859733582,1.2767260074615479,0.3124123215675354,2400,267,533
7,0.664536714553833,0.9045833349227905,1.2370237112045288,0.3025344908237457,2700,300,600
8,0.6846046447753906,0.9196078181266785,1.2957220077514648,0.27049097418785095,3000,334,666
9,0.7052715420722961,0.9177748560905457,1.1636676788330078,0.266797810792923,3300,367,733
10,0.6912939548492432,0.9068509340286255,1.0991535186767578,0.2924083173274994,3600,400,800
11,0.7128594517707825,0.9048672318458557,1.0228095054626465,0.3026878535747528,3900,433,867
12,0.7093650102615356,0.9072014093399048,1.1443297863006592,0.27799567580223083,4200,466,934
13,0.7220447063446045,0.9055397510528564,0.9489477276802063,0.2776825428009033,4500,499,1001
14,0.728734016418457,0.9136524796485901,0.9416528344154358,0.27301260828971863,4800,533,1067
15,0.7330271601676941,0.9206249713897705,0.9713491797447205,0.24797731637954712,5100,566,1134
16,0.7225439548492432,0.9166666865348816,1.027024507522583,0.2660214602947235,5400,600,1200
17,0.7197483777999878,0.9154340028762817,0.9845533967018127,0.27117565274238586,5700,633,1267
18,0.7123602032661438,0.9217877388000488,1.158331036567688,0.23384276032447815,6000,666,1334
19,0.7349241375923157,0.9198803305625916,0.9728191494941711,0.25724121928215027,6300,699,1401
20,0.7520966529846191,0.9182605147361755,0.9185047149658203,0.25202736258506775,6600,732,1468
21,0.7458066940307617,0.918327271938324,0.9003787040710449,0.2564190626144409,6900,765,1535
22,0.7761581540107727,0.9246528148651123,0.8732946515083313,0.24489420652389526,7200,798,1602
23,0.749101459980011,0.9219444394111633,0.9014279246330261,0.24464759230613708,7500,832,1668
24,0.7614816427230835,0.927349328994751,0.8817163109779358,0.21891774237155914,7800,866,1734
25,0.7626796960830688,0.9323770403862,0.8628860116004944,0.22333446145057678,8100,899,1801
26,0.7600838541984558,0.9162155389785767,0.9052401185035706,0.26719963550567627,8400,932,1868
27,0.7655750513076782,0.9225285053253174,0.8372304439544678,0.24070796370506287,8700,965,1935
28,0.7540934681892395,0.9301470518112183,0.916251003742218,0.2301425337791443,9000,998,2002
29,0.7750598788261414,0.9242021441459656,0.822748064994812,0.24947330355644226,9300,1031,2069
30,0.7618809938430786,0.9252577424049377,0.8888532519340515,0.23649907112121582,9600,1065,2135
31,0.7750598788261414,0.9268749952316284,0.8185661435127258,0.23558369278907776,9900,1099,2201
32,0.7667731642723083,0.9299058318138123,0.9043406248092651,0.2215038686990738,10200,1133,2267
33,0.7698681950569153,0.9225770235061646,0.89491206407547,0.2470119148492813,10500,1167,2333
34,0.7650758624076843,0.9269567131996155,0.8866952657699585,0.22841724753379822,10800,1200,2400
35,0.7806509733200073,0.926497757434845,0.7806553244590759,0.23438334465026855,11100,1234,2466
36,0.7843450307846069,0.9321737885475159,0.8164287805557251,0.21576043963432312,11400,1267,2533
37,0.7751597166061401,0.9297093749046326,0.790665328502655,0.2202918380498886,11700,1300,2600
38,0.7918330430984497,0.9310963153839111,0.7437271475791931,0.22065751254558563,12000,1334,2666
39,0.7688698172569275,0.9284166693687439,0.8758233785629272,0.23010793328285217,12300,1367,2733
40,0.8010183572769165,0.9277597665786743,0.7115544080734253,0.23449093103408813,12600,1401,2799
41,0.7982228398323059,0.9350147247314453,0.7667853236198425,0.20955894887447357,12900,1434,2866
42,0.799420952796936,0.9214882254600525,0.7387233376502991,0.24413567781448364,13200,1468,2932
43,0.8020167946815491,0.9246367812156677,0.7216280698776245,0.23727160692214966,13500,1501,2999
44,0.7997204661369324,0.9276404976844788,0.7171127200126648,0.22621352970600128,13800,1534,3066
45,0.8000199794769287,0.9280237555503845,0.7349900603294373,0.22116784751415253,14100,1568,3132
46,0.8055111765861511,0.9282737970352173,0.6850680112838745,0.22509713470935822,14400,1602,3198
47,0.8006190061569214,0.9309027791023254,0.698531985282898,0.219541534781456,14700,1636,3264
48,0.8053115010261536,0.928600549697876,0.6997316479682922,0.22877992689609528,15000,1669,3331
49,0.8293730020523071,0.9920709133148193,0.7675948739051819,0.0268301609903574,15300,1703,3397
