epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,300,36,64
0,0.4010583162307739,0.8135417103767395,2.040346384048462,0.623370885848999,600,136,64
1,0.4401956796646118,0.8432018160820007,1.8703932762145996,0.5310169458389282,900,236,64
2,0.5149760246276855,0.8663793206214905,1.7607289552688599,0.4176313281059265,1200,336,64
3,0.5592052936553955,0.8799341917037964,1.359950065612793,0.3935439884662628,1500,436,64
4,0.580670952796936,0.899411141872406,1.518801212310791,0.3262488543987274,1800,536,64
5,0.5714856386184692,0.8832237124443054,1.6040542125701904,0.3646446168422699,2100,636,64
6,0.5878594517707825,0.8829545974731445,1.508466124534607,0.36002013087272644,2400,736,64
7,0.6280950307846069,0.9024999737739563,1.3518513441085815,0.3010972738265991,2700,836,64
8,0.6511581540107727,0.8882352709770203,1.2237898111343384,0.342717707157135,3000,936,64
9,0.6631389856338501,0.9060283303260803,1.1726735830307007,0.2933916449546814,3300,1036,64
10,0.6511581540107727,0.8969351053237915,1.2168725728988647,0.3224378824234009,3600,1136,64
11,0.6919928193092346,0.9051437973976135,1.0450804233551025,0.30126872658729553,3900,1236,64
12,0.6949880123138428,0.8997365236282349,1.068280816078186,0.2883468568325043,4200,1336,64
13,0.6959864497184753,0.9026988744735718,1.0288337469100952,0.3055105209350586,4500,1436,64
14,0.7185503244400024,0.90483158826828,1.0232412815093994,0.29463520646095276,4800,1536,64
15,0.7127596139907837,0.9116666913032532,0.9658023715019226,0.2771482765674591,5100,1636,64
16,0.7166533470153809,0.9111979603767395,1.047304630279541,0.2745753824710846,5400,1736,64
17,0.7296326160430908,0.898607075214386,0.8912990093231201,0.3119678497314453,5700,1836,64
18,0.7141573429107666,0.8938547372817993,1.0280405282974243,0.3129107654094696,6000,1936,64
19,0.7446086406707764,0.9010970592498779,0.8900522589683533,0.2964576184749603,6300,2036,64
20,0.7310303449630737,0.918917715549469,0.9909100532531738,0.24143239855766296,6600,2136,64
21,0.6913937926292419,0.9172705411911011,1.2137086391448975,0.251357764005661,6900,2236,64
22,0.7466054558753967,0.9135416746139526,0.8876186013221741,0.2733818292617798,7200,2336,64
23,0.746505618095398,0.9098610877990723,0.8608834147453308,0.2830882668495178,7500,2436,64
24,0.7586861252784729,0.9142730236053467,0.8932402729988098,0.2560887038707733,7800,2536,64
25,0.7563897967338562,0.9114155769348145,0.7926987409591675,0.2669388949871063,8100,2636,64
26,0.759984016418457,0.9135088324546814,0.8292683959007263,0.258172869682312,8400,2736,64
27,0.7697683572769165,0.9045864939689636,0.8018220067024231,0.29537683725357056,8700,2836,64
28,0.7558905482292175,0.9154248237609863,0.8651247024536133,0.2597985565662384,9000,2936,64
29,0.7702675461769104,0.9116799831390381,0.8120447397232056,0.27171042561531067,9300,3036,64
30,0.7689696550369263,0.914561927318573,0.788621723651886,0.26406043767929077,9600,3136,64
31,0.766473650932312,0.9131249785423279,0.8370230793952942,0.27417704463005066,9900,3236,64
32,0.7842451930046082,0.9131720066070557,0.7195229530334473,0.27158039808273315,10200,3336,64
33,0.77555912733078,0.9156543612480164,0.7683917880058289,0.26192185282707214,10500,3436,64
34,0.78125,0.9087195992469788,0.7415876984596252,0.2846316397190094,10800,3536,64
35,0.759984016418457,0.9230769276618958,0.8128547072410583,0.24756895005702972,11100,3636,64
36,0.7801517844200134,0.9124382734298706,0.7589101791381836,0.27142369747161865,11400,3736,64
37,0.7798522114753723,0.9157037734985352,0.829021692276001,0.2624092102050781,11700,3836,64
38,0.7932308316230774,0.9153347611427307,0.7242310047149658,0.2582092583179474,12000,3936,64
39,0.7828474640846252,0.9175000190734863,0.7811251282691956,0.25095948576927185,12300,4036,64
40,0.7676717042922974,0.9207521080970764,0.811543881893158,0.24975857138633728,12600,4136,64
41,0.7793530225753784,0.9123572111129761,0.7310843467712402,0.2669999599456787,12900,4236,64
42,0.7990215420722961,0.9105043411254883,0.7309570908546448,0.2676740288734436,13200,4336,64
43,0.7772563695907593,0.9126815795898438,0.7591188549995422,0.27083128690719604,13500,4436,64
44,0.8015175461769104,0.9117615818977356,0.6811200380325317,0.2732963562011719,13800,4536,64
45,0.790335476398468,0.9183304309844971,0.7327411770820618,0.24988895654678345,14100,4636,64
46,0.7992212176322937,0.9154195189476013,0.7017569541931152,0.2664332389831543,14400,4736,64
47,0.8010183572769165,0.9164583086967468,0.7011904716491699,0.2567509412765503,14700,4836,64
48,0.8118011355400085,0.918546199798584,0.6500456929206848,0.25274693965911865,15000,4936,64
49,0.8324680328369141,0.990649402141571,0.7208030819892883,0.028173422440886497,15300,5036,64
