epoch,test_acc,train_acc,test_loss,train_loss,Next training size,amount original images labelled,amount augmented images labelled
-1,0,0,0,0,3000,672,328
0,0.730930507183075,0.8634751439094543,0.938238263130188,0.4069269895553589,3150,705,345
1,0.7061701416969299,0.86259925365448,1.0187010765075684,0.4021485149860382,3300,743,357
2,0.7343250513076782,0.8722956776618958,0.9619016051292419,0.3976171910762787,3450,774,376
3,0.7331269979476929,0.8734197020530701,0.9564211964607239,0.3839882016181946,3600,804,396
4,0.7134584784507751,0.8819137215614319,1.0369497537612915,0.3570697009563446,3750,836,414
5,0.727835476398468,0.8742055296897888,0.9173272252082825,0.4004828929901123,3900,862,438
6,0.7488019466400146,0.8666203022003174,0.8520803451538086,0.4059973955154419,4050,892,458
7,0.7459065318107605,0.8644739389419556,0.8950260877609253,0.4000438153743744,4200,924,476
8,0.7322284579277039,0.8787878751754761,0.9432889819145203,0.36664098501205444,4350,953,497
9,0.7283346652984619,0.8643689155578613,0.8956260085105896,0.40676701068878174,4500,978,522
10,0.7476038336753845,0.8670656085014343,0.8664172291755676,0.38631513714790344,4650,1007,543
11,0.7466054558753967,0.8700770735740662,0.837027370929718,0.4009479582309723,4800,1036,564
12,0.759085476398468,0.8643749952316284,0.8012030720710754,0.4077363610267639,4950,1066,584
13,0.75569087266922,0.8740285634994507,0.8908364772796631,0.3830442726612091,5100,1100,600
14,0.7538937926292419,0.873046875,0.8389435410499573,0.3721637725830078,5250,1134,616
15,0.7480031847953796,0.876893937587738,0.9299386739730835,0.3641691207885742,5400,1162,638
16,0.7598841786384583,0.8725345730781555,0.814369261264801,0.3757891356945038,5550,1187,663
17,0.7190495133399963,0.8605296015739441,0.898097813129425,0.41792333126068115,5700,1216,684
18,0.7784544825553894,0.8802374005317688,0.6912869811058044,0.3648708164691925,5850,1239,711
19,0.7872403860092163,0.871637225151062,0.763133704662323,0.3777630031108856,6000,1263,737
20,0.7515974640846252,0.873670220375061,0.8734725713729858,0.37064439058303833,6150,1286,764
21,0.7758586406707764,0.8792098164558411,0.7270975112915039,0.36320289969444275,6300,1315,785
22,0.777755618095398,0.8709436655044556,0.7257563471794128,0.3816652297973633,6450,1346,804
23,0.7898362874984741,0.8751375079154968,0.7187721729278564,0.37595561146736145,6600,1380,820
24,0.7804512977600098,0.8869263529777527,0.7104935646057129,0.35238462686538696,6750,1403,847
25,0.7530950307846069,0.867979884147644,0.8650276064872742,0.3902038335800171,6900,1434,866
26,0.7826477885246277,0.8846354484558105,0.7376664876937866,0.3611052930355072,7050,1464,886
27,0.7762579917907715,0.879072368144989,0.7385558485984802,0.3707577884197235,7200,1490,910
28,0.7736621499061584,0.8736110925674438,0.7485391497612,0.3744033873081207,7350,1523,927
29,0.7773562073707581,0.8745553493499756,0.7267312407493591,0.36891841888427734,7500,1552,948
30,0.7736621499061584,0.8787233829498291,0.7279584407806396,0.3578857481479645,7650,1585,965
31,0.7671725153923035,0.8680989742279053,0.8107052445411682,0.39366501569747925,7800,1615,985
32,0.7832468152046204,0.8739327788352966,0.7305809259414673,0.36840447783470154,7950,1646,1004
33,0.7870407104492188,0.8860262632369995,0.7012580037117004,0.34314435720443726,8100,1679,1021
34,0.782148540019989,0.8838582634925842,0.7270955443382263,0.3487187922000885,8250,1708,1042
35,0.7967252135276794,0.8827240467071533,0.6631094813346863,0.3588123917579651,8400,1730,1070
36,0.7773562073707581,0.8765446543693542,0.6896511912345886,0.3526809513568878,8550,1760,1090
37,0.7880391478538513,0.8796641826629639,0.7004435062408447,0.3497215509414673,8700,1790,1110
38,0.7885383367538452,0.8817128539085388,0.7170860767364502,0.3536790907382965,8850,1821,1129
39,0.7924321293830872,0.8861060738563538,0.6814713478088379,0.3426046669483185,9000,1851,1149
40,0.7906349897384644,0.8895168304443359,0.6723518967628479,0.3342752158641815,9150,1878,1172
41,0.7991213798522949,0.8788971304893494,0.6432809829711914,0.35773128271102905,9300,1901,1199
42,0.8013178706169128,0.8883591294288635,0.6542400121688843,0.34100791811943054,9450,1930,1220
43,0.7975239753723145,0.8875210881233215,0.6828684210777283,0.34303519129753113,9600,1960,1240
44,0.7885383367538452,0.8767708539962769,0.6936311721801758,0.36294418573379517,9750,1994,1256
45,0.7906349897384644,0.8790237903594971,0.680587112903595,0.3508407175540924,9900,2021,1279
46,0.8001198172569275,0.8862566351890564,0.6597570776939392,0.3428041934967041,10050,2045,1305
47,0.782148540019989,0.8815476298332214,0.7305355668067932,0.3645762503147125,10200,2074,1326
48,0.7974241375923157,0.871342658996582,0.6242027282714844,0.37142515182495117,10350,2096,1354
49,0.7981230020523071,0.8848104476928711,0.6961277723312378,0.34961429238319397,10500,2126,1374
